game_id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401012820,2018,1,regular,2018-09-01T16:00:00.000Z,NA,FALSE,FALSE,0,3754,High Point Solutions Stadium,164,Rutgers,Big Ten,35,0.9992581309620951,1231,1292,326,Texas State,Sun Belt,7,0.000741869037904852,1131,1070,1.11697903199999,https://www.youtube.com/watch?v=lB6s-pGlo04,NA
401012256,2018,1,regular,2018-09-01T16:00:00.000Z,NA,FALSE,FALSE,0,3994,Williams-Brice Stadium,2579,South Carolina,SEC,49,0.9999813927842912,1572,1634,324,Coastal Carolina,Sun Belt,15,0.000018607215708787983,1315,1253,0.182912192500001,https://www.youtube.com/watch?v=j1z8dudbN9Y,NA
401019473,2018,1,regular,2018-09-01T16:00:00.000Z,NA,FALSE,FALSE,0,3806,Lincoln Financial Field,218,Temple,American Athletic,17,0.08018018010651985,NA,NA,222,Villanova,NA,19,0.9198198198934802,NA,NA,6.43306846939999,https://www.youtube.com/watch?v=2WuHl4W40Nw,NA
401013072,2018,1,regular,2018-09-01T16:00:00.000Z,NA,FALSE,FALSE,0,3616,Amon G. Carter Stadium,2628,TCU,Big 12,55,0.9999921756502518,NA,NA,2582,Southern,NA,7,0.000007824349748219994,NA,NA,0.0225499731999999,https://www.youtube.com/watch?v=FC5iJjIe1X0,NA
401013091,2018,1,regular,2018-09-01T16:00:00.000Z,NA,FALSE,FALSE,0,3670,Carter-Finley Stadium,152,NC State,ACC,24,0.839090960760694,NA,NA,256,James Madison,NA,13,0.160909039239306,NA,NA,3.8739046233,https://www.youtube.com/watch?v=hTluPNefjSQ,NA
401013088,2018,1,regular,2018-09-01T16:20:00.000Z,NA,FALSE,FALSE,0,3836,Memorial Stadium,228,Clemson,ACC,48,0.9999840784279569,NA,NA,231,Furman,NA,7,0.0000159215720431094,NA,NA,0.0250883832000001,https://www.youtube.com/watch?v=XA6HmGetYJs,NA
401013090,2018,1,regular,2018-09-01T16:30:00.000Z,NA,FALSE,FALSE,0,721,Bobby Dodd Stadium at Historic Grant Field,59,Georgia Tech,ACC,41,0.9999959877845358,NA,NA,2016,Alcorn State,NA,0,0.00000401221546419972,NA,NA,0.0701338293999992,https://www.youtube.com/watch?v=n2MfSy_7yOU,NA
401013087,2018,1,regular,2018-09-01T17:00:00.000Z,NA,FALSE,FALSE,0,3615,Alumni Stadium,103,Boston College,ACC,55,0.9998255691998653,1609,1674,113,UMass,FBS Independents,21,0.00017443080013468393,1377,1312,0.6622090949,https://www.youtube.com/watch?v=Rtj-zNHEd0c,NA
401020675,2018,1,regular,2018-09-01T18:00:00.000Z,NA,FALSE,FALSE,0,3876,Peden Stadium,195,Ohio,Mid-American,38,0.4527258093446935,NA,NA,47,Howard,NA,32,0.5472741906553065,NA,NA,3.8302068262,NA,NA
401022514,2018,1,regular,2018-09-01T18:00:00.000Z,NA,FALSE,FALSE,0,3713,Falcon Stadium,2005,Air Force,Mountain West,38,0.9999947029448708,NA,NA,2619,Stony Brook,NA,0,0.000005297055129194206,NA,NA,0.8860730608,https://www.youtube.com/watch?v=gM086JZoh68,NA
401013349,2018,1,regular,2018-09-01T19:30:00.000Z,NA,FALSE,FALSE,105232,3632,Beaver Stadium,213,Penn State,Big Ten,45,0.980509601522245,1922,1917,2026,Appalachian State,Sun Belt,38,0.019490398477755022,1652,1657,6.47689498139999,https://www.youtube.com/watch?v=aMSClbb0CXw,NA
401013092,2018,1,regular,2018-09-01T19:30:00.000Z,NA,FALSE,FALSE,0,3752,Heinz Field,221,Pittsburgh,ACC,33,0.9997365885384938,NA,NA,399,Albany,NA,7,0.0002634114615062133,NA,NA,0.2208688393,https://www.youtube.com/watch?v=PeUrYFpqo_A,NA
401012248,2018,1,regular,2018-09-01T19:30:00.000Z,NA,TRUE,FALSE,0,5348,Mercedes-Benz Stadium,2,Auburn,SEC,21,0.6081821946558714,1829,1840,264,Washington,Pac-12,16,0.3918178053441286,1839,1828,7.48070415839999,https://www.youtube.com/watch?v=9RBQOKEFC0c,NA
401012251,2018,1,regular,2018-09-01T19:30:00.000Z,NA,FALSE,FALSE,0,3683,Commonwealth Stadium,96,Kentucky,SEC,35,0.9948967001914114,1453,1482,2117,Central Michigan,Mid-American,20,0.0051032998085885906,1424,1395,5.87733304869999,NA,NA
401012257,2018,1,regular,2018-09-01T19:30:00.000Z,NA,TRUE,FALSE,0,3628,Bank of America Stadium,2633,Tennessee,SEC,14,0.004273317866598812,1411,1368,277,West Virginia,Big 12,40,0.9957266821334012,1570,1613,2.82384215719999,https://www.youtube.com/watch?v=wASVliw-Jrg,NA
401012250,2018,1,regular,2018-09-01T19:30:00.000Z,NA,FALSE,FALSE,0,3917,Sanford Stadium,61,Georgia,SEC,45,0.999992203255419,NA,NA,2046,Austin Peay,NA,0,0.000007796744580956805,NA,NA,0.0234045444000003,https://www.youtube.com/watch?v=Os0jOlTmAP4,NA
401012683,2018,1,regular,2018-09-01T19:30:00.000Z,NA,FALSE,FALSE,0,3984,War Memorial Stadium,2751,Wyoming,Mountain West,19,0.005358724710402157,1572,1513,265,Washington State,Pac-12,41,0.9946412752895979,1551,1610,7.1429531895,https://www.youtube.com/watch?v=TBzMy1k0cSA,NA
401012862,2018,1,regular,2018-09-01T19:40:00.000Z,NA,FALSE,FALSE,0,3793,Kinnick Stadium,2294,Iowa,Big Ten,33,0.9987837404630044,1712,1756,2459,Northern Illinois,Mid-American,7,0.0012162595369955564,1515,1471,3.0460114328,https://www.youtube.com/watch?v=mn8JsJKjexY,NA
401012684,2018,1,regular,2018-09-01T20:00:00.000Z,NA,FALSE,FALSE,0,3831,California Memorial Stadium,25,California,Pac-12,24,0.8968200177849878,1556,1560,153,North Carolina,ACC,17,0.10317998221501223,1459,1455,3.2874759002,https://www.youtube.com/watch?v=2FHV0wgV0CE,NA
401012678,2018,1,regular,2018-09-01T20:00:00.000Z,NA,FALSE,FALSE,0,477,Los Angeles Memorial Coliseum,30,USC,Pac-12,43,0.9967409790322357,1713,1730,2439,UNLV,Mountain West,21,0.0032590209677643145,1350,1333,2.4032706517,https://www.youtube.com/watch?v=-YUtG0OfcLs,NA
401012247,2018,1,regular,2018-09-01T20:00:00.000Z,NA,FALSE,FALSE,0,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,8,Arkansas,SEC,55,0.9967431808920783,NA,NA,2197,Eastern Illinois,NA,20,0.003256819107921749,NA,NA,0.179641016199999,https://www.youtube.com/watch?v=gJr3StoaNTM,NA
401012255,2018,1,regular,2018-09-01T20:00:00.000Z,NA,FALSE,FALSE,0,3838,Faurot Field,142,Missouri,SEC,51,0.995968150359603,NA,NA,2630,UT Martin,NA,14,0.004031849640397045,NA,NA,0.0905773775999997,https://www.youtube.com/watch?v=VuzsUbOUlC0,NA
401013094,2018,1,regular,2018-09-01T22:00:00.000Z,NA,FALSE,FALSE,0,3923,Scott Stadium,258,Virginia,ACC,42,0.99897198899527,NA,NA,257,Richmond,NA,13,0.001028011004730045,NA,NA,1.87596885599999,https://www.youtube.com/watch?v=dm_U31yHgH0,NA
401021656,2018,1,regular,2018-09-01T22:00:00.000Z,NA,FALSE,FALSE,0,3975,Veterans Memorial Stadium,2653,Troy,Sun Belt,20,0.05923029255824867,1594,1496,68,Boise State,Mountain West,56,0.9407697074417514,1648,1746,2.27508502569999,https://www.youtube.com/watch?v=FRnrJ3x_Z0Y,NA
401019472,2018,1,regular,2018-09-01T22:00:00.000Z,NA,FALSE,FALSE,0,3886,Raymond James Stadium,58,South Florida,American Athletic,34,0.9999637417382397,NA,NA,2210,Elon,NA,14,0.000036258261760346855,NA,NA,0.5439158967,https://www.youtube.com/watch?v=A_OJM2hCXbc,NA
401021653,2018,1,regular,2018-09-01T22:00:00.000Z,NA,FALSE,FALSE,0,3608,Paulson Stadium,290,Georgia Southern,Sun Belt,37,0.9987286659646343,NA,NA,2569,South Carolina State,NA,6,0.0012713340353657232,NA,NA,0.435713163799999,https://www.youtube.com/watch?v=gJt4PIvFsxE,NA
401014975,2018,1,regular,2018-09-01T22:00:00.000Z,NA,FALSE,FALSE,0,3996,Yager Stadium,193,Miami (OH),Mid-American,28,0.2914353097621623,1385,1379,276,Marshall,Conference USA,35,0.7085646902378377,1475,1481,5.2033164459,https://www.youtube.com/watch?v=5XJe-85pzBM,NA
401020674,2018,1,regular,2018-09-01T22:00:00.000Z,NA,FALSE,FALSE,0,3965,UB Stadium,2084,Buffalo,Mid-American,48,0.9999142322720109,NA,NA,2169,Delaware State,NA,10,0.00008576772798907228,NA,NA,1.62547624519999,NA,NA
