play_id,game_id,season,week,team,conference,opponent,team_score,opponent_score,drive_id,period,clock_minutes,clock_seconds,yards_to_goal,down,distance,reception_player_id,reception_player,reception_yds,completion_player_id,completion_player,completion_yds,rush_player_id,rush_player,rush_yds,interception_player_id,interception_player,interception_stat,interception_thrown_player_id,interception_thrown_player,interception_thrown_stat,touchdown_player_id,touchdown_player,touchdown_stat,incompletion_player_id,incompletion_player,incompletion_stat,target_player_id,target_player,target_stat,fumble_recovered_player_id,fumble_recovered_player,fumble_recovered_stat,fumble_forced_player_id,fumble_forced_player,fumble_forced_stat,fumble_player_id,fumble_player,fumble_stat,sack_player_id,sack_player,sack_stat,sack_taken_player_id,sack_taken_player,sack_taken_stat,pass_breakup_player_id,pass_breakup_player,pass_breakup_stat,field_goal_attempt_player_id,field_goal_attempt_player,field_goal_attempt_stat,field_goal_made_player_id,field_goal_made_player,field_goal_made_stat,field_goal_missed_player_id,field_goal_missed_player,field_goal_missed_stat,field_goal_blocked_player_id,field_goal_blocked_player,field_goal_blocked_stat
401754374102875700,401754374,2025,1,Kennesaw State,Conference USA,Wake Forest,6,7,4017543746,2,12,42,49,1,15,NA,NA,NA,NA,NA,NA,4565355,Dexter Williams II,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102877500,401754374,2025,1,Kennesaw State,Conference USA,Wake Forest,6,7,4017543746,2,12,24,38,2,4,NA,NA,NA,NA,NA,NA,5083119,Alexander Diggs,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102879200,401754374,2025,1,Kennesaw State,Conference USA,Wake Forest,6,7,4017543746,2,12,7,35,3,1,NA,NA,NA,NA,NA,NA,5083119,Alexander Diggs,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102884900,401754374,2025,1,Kennesaw State,Conference USA,Wake Forest,6,7,4017543746,2,11,50,31,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4565355,Dexter Williams II,1,5219270,Lyndon Ravare,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102885400,401754374,2025,1,Kennesaw State,Conference USA,Wake Forest,6,7,4017543746,2,11,45,31,2,10,NA,NA,NA,NA,NA,NA,5083119,Alexander Diggs,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102887300,401754374,2025,1,Kennesaw State,Conference USA,Wake Forest,6,7,4017543746,2,11,26,27,3,6,NA,NA,NA,NA,NA,NA,5083119,Alexander Diggs,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102888600,401754374,2025,1,Kennesaw State,Conference USA,Wake Forest,6,7,4017543746,2,11,13,21,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4565355,Dexter Williams II,1,4876753,Tykeem Wallace,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102889200,401754374,2025,1,Kennesaw State,Conference USA,Wake Forest,6,7,4017543746,2,11,7,21,2,10,NA,NA,NA,NA,NA,NA,5083119,Alexander Diggs,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102897100,401754374,2025,1,Kennesaw State,Conference USA,Wake Forest,6,7,4017543746,2,10,28,18,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4565355,Dexter Williams II,1,5083041,Gerard Bullock,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102897500,401754374,2025,1,Kennesaw State,Conference USA,Wake Forest,6,7,4017543746,2,10,24,18,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710798,Britton Williams,36,NA,NA,NA,4710798,Britton Williams,36,NA,NA,NA
401754374102898100,401754374,2025,1,Wake Forest,ACC,Kennesaw State,7,6,4017543747,2,10,18,80,1,10,NA,NA,NA,NA,NA,NA,4832846,Demond Claiborne,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102904800,401754374,2025,1,Wake Forest,ACC,Kennesaw State,7,6,4017543747,2,9,51,76,2,6,NA,NA,NA,NA,NA,NA,5186586,Ty Clark III,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102908300,401754374,2025,1,Wake Forest,ACC,Kennesaw State,7,6,4017543747,2,9,16,72,3,2,NA,NA,NA,NA,NA,NA,4697512,Robby Ashford,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102916900,401754374,2025,1,Kennesaw State,Conference USA,Wake Forest,6,7,4017543748,2,8,30,71,1,10,NA,NA,NA,NA,NA,NA,4694074,Coleman Bennett,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102925100,401754374,2025,1,Kennesaw State,Conference USA,Wake Forest,6,7,4017543748,2,7,48,73,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4565355,Dexter Williams II,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102925500,401754374,2025,1,Kennesaw State,Conference USA,Wake Forest,6,7,4017543748,2,7,44,73,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4565355,Dexter Williams II,1,4876752,Gabriel Benyard,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102927500,401754374,2025,1,Wake Forest,ACC,Kennesaw State,7,6,4017543749,2,7,24,69,1,5,5153074,Carlos Hernandez,11,4697512,Robby Ashford,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102935300,401754374,2025,1,Wake Forest,ACC,Kennesaw State,7,6,4017543749,2,6,46,58,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4705860,Donovan Westmoreland,1,4697512,Robby Ashford,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102937000,401754374,2025,1,Wake Forest,ACC,Kennesaw State,7,6,4017543749,2,6,29,60,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4697512,Robby Ashford,1,4893815,JaMario Clements,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401754374102944000,401754374,2025,1,Kennesaw State,Conference USA,Wake Forest,6,7,40175437410,2,5,59,81,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4565355,Dexter Williams II,1,5219270,Lyndon Ravare,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
